class_name,precision,recall,f1_score,support
barretts,16.67,16.67,16.67,6.0
barretts-short-segment,0.0,0.0,0.0,8.0
bbps-0-1,98.95,96.91,97.92,97.0
bbps-2-3,98.82,97.09,97.95,172.0
cecum,98.05,99.34,98.69,152.0
dyed-lifted-polyps,92.95,96.03,94.46,151.0
dyed-resection-margins,95.86,93.29,94.56,149.0
esophagitis-a,66.1,63.93,65.0,61.0
esophagitis-b-d,61.82,87.18,72.34,39.0
hemorrhoids,0.0,0.0,0.0,1.0
ileum,100.0,100.0,100.0,1.0
impacted-stool,81.82,94.74,87.8,19.0
polyps,98.0,95.45,96.71,154.0
pylorus,98.68,100.0,99.34,150.0
retroflex-rectum,91.67,94.83,93.22,58.0
retroflex-stomach,100.0,98.26,99.12,115.0
ulcerative-colitis-grade-0-1,0.0,0.0,0.0,5.0
ulcerative-colitis-grade-1,54.17,43.33,48.15,30.0
ulcerative-colitis-grade-1-2,0.0,0.0,0.0,1.0
ulcerative-colitis-grade-2,64.62,62.69,63.64,67.0
ulcerative-colitis-grade-2-3,0.0,0.0,0.0,4.0
ulcerative-colitis-grade-3,47.83,55.0,51.16,20.0
z-line,91.6,85.71,88.56,140.0
