epoch,train_loss,val_loss,val_acc,val_macro_f1,time_sec
1,0.304,0.1653,81.25,53.26,339.0
2,0.1571,0.1497,86.4,58.65,310.4
3,0.1411,0.1351,88.09,59.84,310.1
4,0.128,0.1361,86.31,59.27,310.2
5,0.1127,0.1299,87.25,59.99,310.2
6,0.1016,0.1348,87.95,62.43,310.3
7,0.0926,0.1406,88.65,61.17,310.2
8,0.0901,0.1588,88.75,63.29,310.4
9,0.0835,0.1443,89.31,63.26,310.4
10,0.069,0.1533,87.86,59.12,310.4
11,0.0663,0.1612,88.09,59.71,310.1
12,0.0647,0.1503,88.75,61.28,309.9
13,0.0587,0.154,89.5,65.75,310.0
14,0.0549,0.1581,89.4,63.27,310.1
15,0.0532,0.1645,89.22,62.13,310.0
16,0.0492,0.161,89.83,64.48,309.9
17,0.0476,0.1587,89.83,64.01,309.9
18,0.0447,0.1634,89.83,64.48,309.7
19,0.0435,0.1703,90.01,64.18,310.2
20,0.0433,0.1654,90.06,63.87,309.9
21,0.042,0.1713,90.25,61.73,310.1
22,0.0413,0.1699,89.97,63.08,310.1
23,0.0403,0.1733,90.06,63.57,310.2
24,0.041,0.1652,89.92,63.37,310.1
25,0.0411,0.1689,90.06,63.59,310.2
26,0.0666,0.1665,88.05,61.0,310.1
27,0.0818,0.1507,87.48,61.44,310.1
28,0.0728,0.1533,88.47,61.11,310.0
29,0.0667,0.1588,87.2,60.83,310.3
30,0.061,0.1689,88.94,61.47,310.2
31,0.0585,0.1613,88.47,63.52,310.1
32,0.056,0.1696,88.61,59.98,309.9
33,0.0575,0.1698,87.48,62.68,310.0
34,0.0524,0.1649,89.08,63.77,309.6
35,0.0467,0.1729,88.94,63.05,310.1
36,0.0477,0.183,89.17,60.12,309.9
37,0.0453,0.1714,88.42,64.37,310.4
38,0.044,0.1784,89.26,63.89,310.2
39,0.042,0.1781,88.65,62.32,309.9
40,0.04,0.1895,88.98,62.53,310.1
41,0.039,0.1897,88.75,59.31,309.8
42,0.038,0.1791,89.69,63.37,309.9
43,0.038,0.185,89.17,62.15,310.2
44,0.0389,0.191,89.64,61.17,310.1
45,0.0373,0.1914,88.65,59.95,309.9
46,0.0381,0.1903,88.94,61.57,310.1
47,0.0359,0.1884,89.64,64.29,310.2
48,0.0367,0.1954,90.06,61.58,309.9
49,0.0363,0.196,88.28,63.49,310.3
50,0.036,0.1972,89.83,63.28,310.1
51,0.0352,0.1999,88.94,59.75,310.3
52,0.0348,0.2041,89.36,59.99,310.2
53,0.0352,0.2005,89.64,60.83,310.1
54,0.0343,0.2043,89.22,60.57,310.1
55,0.033,0.2025,90.01,61.84,310.1
56,0.0332,0.2028,88.89,61.7,310.1
57,0.033,0.2026,89.4,62.43,310.2
58,0.0331,0.201,89.87,63.75,310.4
59,0.0332,0.2002,89.55,63.99,310.0
60,0.0325,0.2017,89.92,63.48,309.9
61,0.0323,0.2128,89.64,61.2,310.2
62,0.032,0.2082,89.92,61.82,310.2
63,0.0329,0.2056,89.59,61.69,310.2
64,0.0323,0.2081,89.87,62.18,310.2
65,0.0321,0.2107,89.64,60.66,310.2
66,0.032,0.208,89.87,60.53,310.0
67,0.0319,0.2116,89.78,61.54,310.3
68,0.0316,0.2083,89.78,61.48,310.0
69,0.0318,0.2111,89.87,61.8,310.1
70,0.0317,0.2118,90.06,60.87,310.3
71,0.0317,0.2108,89.97,60.99,310.3
72,0.0316,0.2124,90.15,60.94,310.1
73,0.0317,0.2131,89.92,61.09,310.5
74,0.0316,0.2117,89.73,60.85,310.1
75,0.0316,0.2107,89.87,60.91,309.9
76,0.0721,0.1914,82.51,57.38,310.1
77,0.0943,0.1974,85.79,57.27,310.1
78,0.0789,0.1643,88.0,60.65,309.9
79,0.0523,0.1785,89.26,60.21,309.9
80,0.0476,0.1912,88.56,58.44,310.3
81,0.0494,0.1911,88.94,60.96,310.1
82,0.0448,0.1866,88.98,61.98,310.1
83,0.0417,0.1831,88.19,61.69,309.9
84,0.0439,0.1876,88.8,59.48,310.1
85,0.0415,0.1899,89.26,60.69,310.5
86,0.0381,0.1906,89.45,60.11,310.4
87,0.0386,0.1924,89.97,60.56,309.8
88,0.0393,0.1975,89.22,60.46,310.0
89,0.0399,0.1792,89.59,61.79,310.0
90,0.0384,0.1955,89.12,61.65,310.1
91,0.039,0.193,89.36,64.64,309.9
92,0.0377,0.1965,89.64,62.01,310.0
93,0.0374,0.2014,88.33,60.74,310.1
94,0.0366,0.19,89.17,61.61,310.3
95,0.0358,0.1929,89.4,61.39,309.9
96,0.0372,0.2066,88.61,63.34,310.0
97,0.0365,0.2013,89.4,63.92,310.3
98,0.0364,0.1958,89.4,61.27,310.3
99,0.0344,0.2001,88.94,63.63,310.6
100,0.0357,0.1978,89.92,60.65,310.5
