epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,0.2925,0.1678,83.77,55.02,,337.0
2,0.1581,0.1533,85.46,56.66,,310.1
3,0.1368,0.1434,86.68,58.48,,310.4
4,0.1208,0.1399,88.41,64.17,,310.2
5,0.109,0.1392,86.16,60.87,,310.2
6,0.102,0.1468,89.26,63.8,,310.1
7,0.0898,0.1456,88.56,65.13,,310.1
8,0.0869,0.1387,88.84,63.55,,310.8
9,0.0724,0.1612,87.48,60.52,,310.9
10,0.0718,0.1481,88.56,64.54,,310.5
11,0.0669,0.1446,90.1,62.86,,310.6
12,0.0603,0.1592,89.73,60.77,,310.5
13,0.0572,0.1621,89.68,62.32,,310.8
14,0.0557,0.1617,88.6,61.92,,310.5
15,0.0519,0.1679,90.67,62.83,,310.7
16,0.0497,0.1648,89.92,62.58,,310.6
17,0.0463,0.1675,89.96,62.82,,310.7
18,0.0457,0.1765,90.53,64.05,,310.5
19,0.0445,0.1743,90.53,63.6,,310.7
20,0.0426,0.1775,90.57,67.03,,310.7
21,0.0427,0.1708,90.62,66.75,,310.7
22,0.0415,0.176,90.34,65.23,,310.6
23,0.0403,0.1767,90.24,65.87,,310.7
24,0.0412,0.1807,90.24,65.9,,310.6
25,0.0399,0.1774,91.04,67.06,,310.5
26,0.07,0.1869,83.54,56.86,,310.7
27,0.0925,0.1632,87.01,58.62,,310.5
28,0.0748,0.1602,87.34,59.13,,310.8
29,0.0707,0.1598,88.79,61.96,,310.5
30,0.0668,0.1714,87.15,59.92,,311.0
31,0.0597,0.1671,89.59,61.41,,310.4
32,0.0531,0.163,90.2,64.05,,310.7
33,0.0507,0.1677,89.45,62.33,,310.9
34,0.0493,0.1841,89.35,61.22,,310.8
35,0.0486,0.1878,90.38,62.7,,310.4
36,0.0473,0.1664,89.77,66.16,,310.5
37,0.0455,0.182,89.82,63.02,,310.5
38,0.0453,0.1787,88.98,60.96,,310.4
39,0.0442,0.1741,90.29,64.96,,310.5
40,0.0458,0.1872,90.01,63.66,,310.6
41,0.0408,0.1748,90.53,63.19,,310.8
42,0.042,0.1834,90.81,63.1,,310.8
43,0.0388,0.1861,90.34,62.85,,310.5
44,0.0383,0.1781,89.77,62.92,,310.6
45,0.0374,0.1795,89.96,62.12,,310.9
46,0.0368,0.1828,90.2,62.85,,310.8
47,0.0363,0.1985,90.71,62.69,,310.3
48,0.0395,0.1844,90.24,61.9,,310.6
49,0.0366,0.1892,89.82,59.82,,310.5
50,0.0354,0.2015,90.57,59.81,,310.2
51,0.0351,0.1898,90.1,61.5,,310.5
52,0.0352,0.1898,91.09,63.05,,310.8
53,0.0339,0.1915,90.99,61.57,,310.7
54,0.0341,0.1922,90.34,60.53,,310.5
55,0.0337,0.1949,90.76,60.41,,310.7
56,0.0334,0.1957,90.34,60.23,,310.2
57,0.0338,0.198,90.34,59.15,,310.9
58,0.0331,0.1946,90.81,61.5,,310.8
59,0.0329,0.1928,90.76,61.14,,310.7
60,0.0332,0.1973,90.24,60.29,,310.9
61,0.0327,0.1943,91.09,60.67,,310.8
62,0.0329,0.1955,90.48,59.26,,310.7
63,0.0329,0.1969,90.57,60.02,,310.5
64,0.0328,0.1948,89.87,59.18,,310.7
65,0.0325,0.1956,90.67,61.43,,310.4
66,0.0323,0.1945,90.24,60.12,,311.0
67,0.0323,0.1976,90.53,60.96,,310.6
68,0.032,0.1962,90.48,60.95,,310.8
69,0.0318,0.1949,90.34,60.87,,310.8
70,0.0319,0.1978,90.43,60.97,,310.7
71,0.0319,0.1961,90.15,60.64,,310.8
72,0.0319,0.1968,90.48,60.85,,310.5
73,0.0318,0.1989,90.29,60.55,,310.9
74,0.0317,0.1993,90.24,61.24,,310.7
75,0.0319,0.1947,90.53,60.89,,310.7
76,0.0633,0.1767,83.49,56.37,,310.4
77,0.0972,0.1625,88.23,59.59,,310.4
78,0.0737,0.1639,88.27,59.68,,310.8
79,0.0541,0.1749,87.95,61.13,,310.7
80,0.0507,0.1841,88.27,59.23,,310.7
81,0.0467,0.1809,89.68,61.81,,310.6
82,0.0456,0.1896,88.88,59.49,,310.6
83,0.0424,0.1921,90.06,61.87,,311.0
84,0.0419,0.1865,89.77,63.25,,310.7
85,0.046,0.1817,89.4,59.48,,310.9
86,0.0414,0.1872,89.31,60.89,,310.8
87,0.0389,0.1972,90.01,61.02,,310.7
88,0.0395,0.2017,90.2,60.67,,311.1
89,0.0407,0.1942,89.35,60.69,,310.7
90,0.0377,0.1896,89.4,59.69,,310.5
91,0.0362,0.1937,90.53,61.29,,310.5
92,0.0361,0.1971,89.54,60.12,,311.0
93,0.0398,0.1935,89.54,59.16,,310.7
94,0.0407,0.1933,88.79,59.84,,310.5
95,0.041,0.1904,89.26,61.07,,310.7
96,0.0392,0.1926,89.87,60.42,,310.8
97,0.0362,0.2041,89.21,59.61,,310.7
98,0.0362,0.1949,89.49,60.44,,310.6
99,0.039,0.1885,89.68,59.47,,310.5
100,0.036,0.1958,90.43,60.33,,310.5
