epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,2.0105,1.3589,87.05,55.18,0.0001,311.5
2,1.3379,1.2911,88.24,58.23,0.0001,282.7
3,1.237,1.2678,87.18,57.32,9.9e-05,283.6
4,1.1828,1.295,88.99,59.6,9.7e-05,284.5
5,1.1513,1.2144,89.81,60.97,9.4e-05,283.1
6,1.1003,1.2378,87.99,59.45,9.1e-05,285.9
7,1.0685,1.2399,89.06,60.97,8.7e-05,283.0
8,1.0431,1.2625,87.43,58.24,8.3e-05,284.2
9,1.0016,1.2677,89.37,61.7,7.8e-05,284.6
10,0.9858,1.2387,88.93,60.18,7.3e-05,284.5
11,0.9498,1.242,89.56,61.26,6.7e-05,284.4
12,0.9308,1.2633,89.06,59.57,6.1e-05,284.2
13,0.9132,1.2714,90.18,61.41,5.5e-05,284.4
14,0.8929,1.3174,89.68,60.3,5e-05,284.5
15,0.8731,1.311,89.87,60.68,4.4e-05,284.5
16,0.8613,1.3041,89.87,60.52,3.8e-05,284.3
17,0.8512,1.325,89.87,59.57,3.2e-05,284.3
18,0.8428,1.3156,90.24,61.84,2.7e-05,284.8
19,0.8388,1.322,90.06,61.34,2.2e-05,284.5
20,0.8306,1.3342,90.18,62.82,1.8e-05,284.1
21,0.8268,1.3379,90.43,61.75,1.4e-05,284.4
22,0.8223,1.3464,90.12,62.56,1.1e-05,284.5
23,0.8242,1.3232,90.31,62.94,8e-06,284.3
24,0.8132,1.3345,90.31,62.32,6e-06,284.4
25,0.8151,1.337,89.93,62.49,5e-06,284.4
26,0.9482,1.3376,88.24,57.85,0.0001,284.2
27,0.9394,1.3058,88.87,62.12,0.0001,284.3
28,0.9245,1.365,88.62,59.91,0.0001,284.5
29,0.9043,1.3263,87.55,59.63,9.9e-05,284.4
30,0.8904,1.3829,88.81,61.64,9.9e-05,284.5
31,0.8871,1.4015,88.18,58.86,9.8e-05,284.5
32,0.8779,1.4014,89.62,60.21,9.7e-05,284.6
33,0.8615,1.3901,88.49,58.18,9.5e-05,284.3
34,0.854,1.354,89.81,61.58,9.4e-05,284.4
35,0.8562,1.3212,89.56,63.06,9.3e-05,284.4
36,0.8477,1.3531,88.37,59.14,9.1e-05,284.6
37,0.8313,1.4183,89.06,59.46,8.9e-05,284.2
38,0.8366,1.3552,88.93,60.27,8.7e-05,284.2
39,0.8324,1.4695,88.06,58.72,8.5e-05,284.2
40,0.8344,1.3637,89.62,59.95,8.3e-05,284.4
41,0.8242,1.3579,89.81,61.3,8e-05,284.3
42,0.8188,1.4105,89.43,59.25,7.8e-05,284.2
43,0.81,1.4009,89.68,60.82,7.5e-05,284.3
44,0.81,1.3822,89.12,60.21,7.3e-05,284.4
45,0.8057,1.4217,88.93,59.35,7e-05,284.3
46,0.8142,1.4005,88.62,59.29,6.7e-05,284.1
47,0.8075,1.4366,89.62,58.94,6.4e-05,284.2
48,0.806,1.3961,89.87,59.27,6.1e-05,282.5
49,0.7949,1.4003,89.87,59.68,5.8e-05,282.3
50,0.8017,1.385,90.31,60.97,5.5e-05,282.4
51,0.799,1.3787,89.68,58.36,5.3e-05,283.4
52,0.7934,1.3626,89.87,61.41,5e-05,284.2
53,0.7914,1.3994,89.81,58.68,4.7e-05,284.1
54,0.7844,1.4292,89.93,59.27,4.4e-05,284.4
55,0.7878,1.4144,90.06,60.15,4.1e-05,284.0
56,0.7819,1.4225,90.31,60.02,3.8e-05,284.3
57,0.7842,1.4163,90.24,60.02,3.5e-05,283.7
58,0.7798,1.4211,89.99,59.54,3.2e-05,284.1
59,0.7821,1.4202,90.49,59.67,3e-05,284.2
60,0.7821,1.4217,90.06,59.6,2.7e-05,284.1
61,0.7837,1.4214,89.74,59.01,2.5e-05,284.2
62,0.7787,1.4174,89.74,59.26,2.2e-05,283.8
63,0.7772,1.4222,89.99,59.2,2e-05,284.2
64,0.7794,1.4353,90.06,60.06,1.8e-05,283.8
65,0.7793,1.4225,90.37,60.08,1.6e-05,284.2
66,0.7807,1.4142,90.31,61.45,1.4e-05,284.3
67,0.7765,1.4136,90.12,61.48,1.2e-05,284.3
68,0.7749,1.4227,90.31,60.39,1.1e-05,284.2
69,0.7762,1.4201,90.18,60.29,1e-05,284.2
70,0.7751,1.4207,90.18,60.48,8e-06,284.3
71,0.7769,1.4314,90.12,59.78,7e-06,284.3
72,0.7748,1.4254,90.24,59.79,6e-06,284.3
73,0.7745,1.4242,90.31,59.78,6e-06,284.4
74,0.7733,1.4129,90.24,60.92,5e-06,283.9
75,0.7745,1.424,90.31,60.49,5e-06,284.1
76,0.893,1.4353,88.43,59.28,0.0001,284.4
77,0.9188,1.3645,88.56,59.48,0.0001,284.3
78,0.8592,1.3938,88.43,58.15,0.0001,284.1
79,0.8459,1.3724,89.12,60.54,0.0001,284.5
80,0.8312,1.4391,89.18,58.0,0.0001,284.3
81,0.8242,1.4003,89.62,58.09,9.9e-05,284.2
82,0.817,1.4956,89.24,58.19,9.9e-05,284.5
83,0.8127,1.4644,89.06,57.4,9.9e-05,284.5
84,0.8253,1.3962,89.24,61.89,9.9e-05,284.3
85,0.8162,1.4715,89.24,58.08,9.8e-05,284.1
86,0.8125,1.4146,88.93,61.08,9.8e-05,284.4
87,0.8086,1.4524,89.49,58.28,9.7e-05,284.4
88,0.8054,1.4462,89.43,58.18,9.7e-05,284.0
89,0.8032,1.4125,89.62,59.08,9.6e-05,284.2
90,0.7975,1.4657,89.12,58.72,9.5e-05,284.5
91,0.8056,1.4181,89.81,61.2,9.5e-05,284.6
92,0.8058,1.4131,88.74,58.4,9.4e-05,284.3
93,0.8107,1.4002,89.62,59.32,9.3e-05,284.4
94,0.7998,1.4172,89.87,60.31,9.3e-05,284.4
95,0.7977,1.4047,89.87,61.62,9.2e-05,284.3
96,0.8204,1.3736,88.74,61.44,9.1e-05,284.4
97,0.8139,1.3926,89.74,61.19,9e-05,284.0
98,0.8023,1.4057,89.24,60.36,8.9e-05,284.3
99,0.8008,1.3817,89.56,60.61,8.8e-05,284.2
100,0.817,1.4093,88.99,59.96,8.7e-05,284.3
