epoch,train_loss,val_loss,val_acc,val_macro_f1,learning_rate,time_sec
1,0.2924,0.1632,84.9,55.0,,337.2
2,0.1573,0.1436,86.22,58.91,,310.2
3,0.1364,0.1415,85.7,58.27,,310.4
4,0.1209,0.1378,89.31,61.84,,310.6
5,0.1086,0.1411,88.05,60.54,,310.2
6,0.0977,0.1394,89.22,63.89,,310.1
7,0.0876,0.1531,89.08,61.65,,310.1
8,0.0838,0.1416,89.78,62.34,,310.1
9,0.0844,0.1398,86.22,60.66,,310.5
10,0.0729,0.1525,89.92,63.22,,310.1
11,0.0647,0.1436,89.36,64.16,,310.1
12,0.0605,0.1572,90.53,64.64,,310.1
13,0.0595,0.1653,90.2,62.39,,310.1
14,0.0534,0.1676,90.15,62.33,,309.9
15,0.0517,0.1646,90.53,62.63,,310.0
16,0.0499,0.1736,90.15,63.24,,310.3
17,0.0469,0.1685,90.76,64.58,,310.4
18,0.0439,0.1777,90.62,64.3,,310.3
19,0.0427,0.1724,90.58,62.81,,310.2
20,0.0423,0.1757,90.48,63.06,,309.9
21,0.0413,0.1803,90.44,62.7,,310.5
22,0.0401,0.1802,90.76,62.74,,310.2
23,0.0403,0.1792,90.67,63.05,,310.1
24,0.0398,0.1805,90.44,62.21,,309.9
25,0.0393,0.183,90.62,62.6,,310.3
26,0.0673,0.1657,86.78,60.19,,310.2
27,0.0773,0.1621,86.87,61.71,,310.2
28,0.0721,0.1678,90.2,63.02,,310.4
29,0.0696,0.1622,89.64,62.97,,310.3
30,0.0625,0.1639,89.12,61.22,,310.2
31,0.0598,0.1668,89.5,62.28,,310.1
32,0.0504,0.1749,89.69,61.68,,310.3
33,0.0482,0.1734,89.83,61.82,,310.4
34,0.0498,0.1844,89.31,61.84,,310.3
35,0.0447,0.1737,89.73,61.9,,310.1
36,0.0431,0.1802,89.26,63.43,,310.1
37,0.0415,0.1833,89.26,62.99,,310.5
38,0.0433,0.1823,89.92,61.92,,310.3
39,0.0412,0.1774,89.92,63.5,,310.4
40,0.0405,0.1936,90.11,63.39,,310.1
41,0.0395,0.1862,90.95,63.04,,310.1
42,0.039,0.1849,89.73,63.03,,310.2
43,0.0377,0.1957,90.81,62.01,,310.1
44,0.0362,0.2,90.48,60.91,,310.0
45,0.0362,0.1962,91.0,61.21,,310.7
46,0.0375,0.1857,91.09,64.77,,310.1
47,0.0383,0.1928,90.06,62.12,,310.3
48,0.0364,0.1814,90.86,63.78,,310.1
49,0.0354,0.191,91.09,62.72,,310.1
50,0.0347,0.1901,91.0,63.79,,310.1
51,0.0342,0.1921,91.09,63.01,,310.3
52,0.0337,0.1967,91.37,63.38,,310.1
53,0.0335,0.1939,91.05,62.19,,310.1
54,0.0333,0.1926,91.56,62.54,,310.1
55,0.0327,0.1921,90.48,61.71,,310.1
56,0.0333,0.1928,90.67,61.88,,309.9
57,0.0326,0.1969,90.95,62.04,,310.3
58,0.0321,0.1966,90.44,62.12,,310.1
59,0.0322,0.1994,91.19,61.99,,310.8
60,0.0321,0.201,91.09,62.28,,311.8
61,0.032,0.1995,91.09,63.05,,311.3
62,0.0319,0.2019,90.81,61.66,,311.4
63,0.0316,0.2099,90.81,61.73,,311.8
64,0.0316,0.2031,91.33,63.07,,311.7
65,0.0314,0.2037,91.19,61.88,,312.0
66,0.0315,0.2024,91.28,62.38,,312.2
67,0.0313,0.203,91.14,62.19,,312.0
68,0.0312,0.2008,91.23,62.12,,312.1
69,0.0311,0.2011,91.19,62.22,,312.3
70,0.031,0.2014,91.05,62.01,,312.2
71,0.0312,0.1985,90.72,61.92,,312.3
72,0.031,0.2001,90.81,61.94,,312.5
73,0.031,0.2028,90.86,61.98,,312.1
74,0.0311,0.2012,90.95,62.04,,312.2
75,0.031,0.199,90.9,61.7,,312.3
76,0.0687,0.1855,84.81,56.53,,312.1
77,0.089,0.1687,87.2,60.4,,312.0
78,0.066,0.1684,87.06,59.96,,312.3
79,0.0571,0.1782,89.36,61.21,,311.7
80,0.0479,0.1851,89.26,60.51,,312.2
81,0.0495,0.192,85.56,57.23,,312.4
82,0.0543,0.1711,89.22,62.59,,312.2
83,0.0431,0.1807,91.05,63.78,,312.3
84,0.0391,0.195,91.0,61.81,,312.7
85,0.0384,0.1916,90.53,61.94,,312.6
86,0.0372,0.1892,90.86,64.82,,312.5
87,0.039,0.1939,86.64,58.65,,311.9
88,0.0398,0.1908,90.67,63.69,,312.1
89,0.0391,0.1914,89.97,62.52,,312.5
90,0.0396,0.1939,89.12,60.99,,312.4
91,0.0386,0.1902,89.78,62.11,,312.1
92,0.0374,0.1901,89.64,62.91,,312.2
93,0.0367,0.1904,90.72,63.45,,312.5
94,0.0375,0.2035,89.83,62.72,,312.0
95,0.0369,0.198,90.2,62.79,,311.7
96,0.0341,0.2093,90.44,62.63,,312.2
97,0.0341,0.202,90.62,63.57,,312.3
98,0.034,0.2072,91.19,63.83,,312.5
99,0.0355,0.2035,90.58,62.86,,312.3
100,0.0354,0.1933,90.3,63.75,,312.5
